token;web;address;telegram;twitter
ordi;https://coinranking.com/coin/j7-7vPrOi+ordi-ordi;[];;@domodatastatus/1633658974686855168.
Wojak Coin;https://coinranking.com/coin/k_c06aocW+wojakcoin-wojak;['ethereum/0x5026F006B85729a8b14553FAE6af249aD16c9aaB'];wojak_ETH;@wojakcoineth
piza;https://coinranking.com/coin/TUsrLvFwN+piza-piza;[];brc20_piza;@btcpizzaxyz
PEPE;https://coinranking.com/coin/ind8fU0Yr+pepe-pepebrc;[];;@Pepe_Brc20
TCAP BRC;https://coinranking.com/coin/lt9bHJ6iq+tcapbrc-tcap;['bitcoin/0d64844312f217c510f5aaa0d37bd4426d0b96e079951ce953a6e80a16c05d78i0'];;@TcapFund
SATS BRC;https://coinranking.com/coin/mROMqPxZd+satsbrc-sats;['bitcoin/357097', 'bitcoin/9b664bdd6f5ed80d8d88957b63364c41f3ad4efb8eee11366aa16435974d9333i0'];;
ALEO BRC;https://coinranking.com/coin/Q3Z0PEXwT+aleobrc-aleo;['bitcoin/8a33ffd7b696068d6cc96570ceb5c18a75bf1647ff47b2c668c6c7527f207f01i0'];;
RATS BRC;https://coinranking.com/coin/DFWYskicc+ratsbrc-rats;[];;@rats_brc20
BXEC BRC;https://coinranking.com/coin/N7tq5426R+bxecbrc-bxec;['bitcoin/d26cd65d602bd7450bd1acbe817a41a63a8b69006ba965f6a20186325c3cc0e8i0'];;
INDS BRC;https://coinranking.com/coin/v6j42cy7t+indsbrc-inds;['bitcoin/03af1197e7fc892c25e1bbc8ba136b622c8c356fcd9e4b7c180952146fa2d596i0'];;
trac BRC;https://coinranking.com/coin/k46c-SqmT+tracbrc-trac;['bitcoin/b006d8e232bdd01e656c40bdbec83bb38413a8af3a58570551940d8f23d4b85ai0'];raritygarden;
MWCC BRC;https://coinranking.com/coin/_uY6pDShX+mwccbrc-mwcc;['bitcoin/40d8eb84f29ed34560c62b91a97860544649927d6be1cd7ec0b1a02071581390i0'];;
Orange Crypto BRC;https://coinranking.com/coin/AyFr1d2qGd+orangecryptobrc-ornj;['bitcoin/373ffb1afec9af0e3eac751ba68cd1987996f4c68435f7db7b67def90ec19505i0'];OrangeCryptoHQ;x.com
PUPS;https://coinranking.com/coin/FfF4MmOoy+pups-pups;['bitcoin/662410'];;
